text,text_clean,label_primary,label_final
"заказ пришёл за 2 недели. все по размеру.. НО после первой носки верхний слой слез, теперь в мусор или под штаны.. очень жаль..","заказ пришёл за 2 недели. все по размеру.. но после первой носки верхний слой слез, теперь в мусор или под штаны.. очень жаль..",одежда,одежда
ни кофты ни денег только просьба не открывать спор и подождать четыре месяца прошло!!!! совести нет совсем!!!!,ни кофты ни денег только просьба не открывать спор и подождать четыре месяца прошло!!!! совести нет совсем!!!!,нет товара,бытовая техника
"Товар не пришёл, продавец отметил как доставлен, спор на возврат денег был открыт 02.11.17, деньги ещё не вернули","товар не пришёл, продавец отметил как доставлен, спор на возврат денег был открыт 02.11.17, деньги ещё не вернули",нет товара,товары для детей
"Очень много ниток. Ткань приятная,в общем соответствует цена качеству.","очень много ниток. ткань приятная,в общем соответствует цена качеству.",одежда,одежда
"ладно бы просто в талии большие были, с ремнем нормально, но там образуется пузырь на месте живота, не знаю,что и делать","ладно бы просто в талии большие были, с ремнем нормально, но там образуется пузырь на месте живота, не знаю,что и делать",обувь,электроника
"Кофта пришла быстро. Ткань приятная к телу. Но на кофте множество пятен, по моему жирных. Попытаемся отстирать. Размерный ряд не соответствует заявленному. Маломерка, хотя длина рукавов хороша.","кофта пришла быстро. ткань приятная к телу. но на кофте множество пятен, по моему жирных. попытаемся отстирать. размерный ряд не соответствует заявленному. маломерка, хотя длина рукавов хороша.",одежда,одежда
"туника хорошего качества, но был брак (шов неровный и сборил)","туника хорошего качества, но был брак  шов неровный и сборил ",одежда,одежда
на рост 170 штаны короткие,на рост 170 штаны короткие,одежда,одежда
"доставка очень быстро 16 08
 заказали 30 08 уже получили.",доставка очень быстро 16 08 заказали 30 08 уже получили.,нет товара,бытовая техника
"Майку не получила, деньги вернули.","майку не получила, деньги вернули.",нет товара,электроника
"кофта пришла ооочень маленького размера , т .е вообще не соответствует размеру я разачерованна.","кофта пришла ооочень маленького размера , т .е вообще не соответствует размеру я разачерованна.",одежда,одежда
"очень тоненький. цвет не такой как на фото, намного темнее. но за такую цену 565 руб. нормально","очень тоненький. цвет не такой как на фото, намного темнее. но за такую цену 565 руб. нормально",одежда,одежда
"куртка очень тонкая, на осень не пойдет, пуха очень мало и просвечевает через ткань, цвет белый не берите. Летом в ней только ходить","куртка очень тонкая, на осень не пойдет, пуха очень мало и просвечевает через ткань, цвет белый не берите. летом в ней только ходить",одежда,одежда
куртка маломерит  по сетке не проходит,куртка маломерит по сетке не проходит,одежда,одежда
"За такие деньги она оправдала себя.  Брала L на свой размер M  и не прргадала, ибо можно было бы взять еще побольше.","за такие деньги она оправдала себя. брала l на свой размер m и не прргадала, ибо можно было бы взять еще побольше.",нет товара,электроника
ужасная синтетика с торчащими нитками,ужасная синтетика с торчащими нитками,одежда,одежда
"Размерная сетка не соответствует, заказывала 80D на русский 70D - оказался дико мал. Качество не самое лучшее, чистая синтетика.","размерная сетка не соответствует, заказывала 80d на русский 70d - оказался дико мал. качество не самое лучшее, чистая синтетика.",нет товара,нет товара
цвета не яркие как на фото,цвета не яркие как на фото,одежда,одежда
"Качество отличное, швы ровные, запаха нет и петель тоже нет, но это не критично. Продавцу спасибо!","качество отличное, швы ровные, запаха нет и петель тоже нет, но это не критично. продавцу спасибо!",одежда,одежда
"Платье просто супер!Очень понравилось,качество пошива на отлично.На ОГ 106 И ОБ 112 впритык.Длина чуть ниже колена при росте 164 см.Платье отслеживалось хорошо.Купила за 1047 рублей.Продавец молодец","платье просто супер!очень понравилось,качество пошива на отлично.на ог 106 и об 112 впритык.длина чуть ниже колена при росте 164 см.платье отслеживалось хорошо.купила за 1047 рублей.продавец молодец",одежда,одежда
"Доставка в г. Томск 16 дней.
Юбочка выполнена качественно, материал мягкий. Но не подошла, так как заказали по размеру, а описания размера не читали. Будьте внимательны!
Во стольном все понравилось, Продавцу спасибо.","доставка в г. томск 16 дней. юбочка выполнена качественно, материал мягкий. но не подошла, так как заказали по размеру, а описания размера не читали. будьте внимательны! во стольном все понравилось, продавцу спасибо.",нет товара,товары для детей
Вещь только на маленькую грудь. Никакой второй размер туда не поместится и ничего не держит. Может служить только в качестве накладки для тех у кого на теле минимум.,вещь только на маленькую грудь. никакой второй размер туда не поместится и ничего не держит. может служить только в качестве накладки для тех у кого на теле минимум.,одежда,одежда
"Пипец! Заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! Жесть!!!!!","пипец! заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! жесть!!!!!",нет товара,нет товара
"Пижама не доехала, застряла в Китае, по истечении 2.5 месяцев поняла что её потеряли. Деньги вернули быстро в течении недели","пижама не доехала, застряла в китае, по истечении 2.5 месяцев поняла что её потеряли. деньги вернули быстро в течении недели",одежда,одежда
"Размер только на ог/от/об 89/73/96, плечо 37, рост 164. Тогда как на фото продавца. На размер более получатся в обтяг, она конечно тянется, но это просто ужасно.","размер только на ог от об 89 73 96, плечо 37, рост 164. тогда как на фото продавца. на размер более получатся в обтяг, она конечно тянется, но это просто ужасно.",одежда,одежда
If you order in the dimensional table set one size in my parameters. And came one size smaller. Jacket small to me.,if you order in the dimensional table set one size in my parameters. and came one size smaller. jacket small to me.,одежда,одежда
"Маленькие, размер не соответствует","маленькие, размер не соответствует",одежда,одежда
"Платье пришло с зацепкой спереди, на видном месте((( очень жаль, носить не смогу","платье пришло с зацепкой спереди, на видном месте    очень жаль, носить не смогу",одежда,одежда
Пришли уже в полинявшем состоянии...носить невозможно,пришли уже в полинявшем состоянии...носить невозможно,одежда,одежда
"колготки очень понравились, но пришли с браком.... пришлось открыть спор","колготки очень понравились, но пришли с браком.... пришлось открыть спор",одежда,одежда
"ткань - синтетика среднего качества, размерная сетка не соответствует действительности. Нитки не торчат. не пахнет. В общем за такие деньги более менее.. рекомендую брать на размер побольше.","ткань - синтетика среднего качества, размерная сетка не соответствует действительности. нитки не торчат. не пахнет. в общем за такие деньги более менее.. рекомендую брать на размер побольше.",нет товара,нет товара
"Хорошие, плотные носки, прекрасно подошли на размер 39-40. Ребенок доволен. Рекомендую. Спасибо.","хорошие, плотные носки, прекрасно подошли на размер 39-40. ребенок доволен. рекомендую. спасибо.",обувь,одежда
"все пришло супер,быстро,качество класс,рекомендую","все пришло супер,быстро,качество класс,рекомендую",одежда,одежда
"Размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12","размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12",одежда,одежда
Ужасная синтетика! Расстроилась. Размер наверно 48-50. Своих денег не стоит вообще! Хотела даже спор открыть,ужасная синтетика! расстроилась. размер наверно 48-50. своих денег не стоит вообще! хотела даже спор открыть,нет товара,электроника
"Товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.Не рекомендую","товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.не рекомендую",нет товара,нет товара
материал не такой плотный и теплый.но мягкий.  для летних вечеров самый раз,материал не такой плотный и теплый.но мягкий. для летних вечеров самый раз,одежда,одежда
"К сожалению, платье  не соответствует фотографии и описанию, на которой представлено платье. Размер «S»  очень сильно велик в талии, в плечах. Рукава сильно короткие. Длина платье, не то, что мини, а минимини.","к сожалению, платье не соответствует фотографии и описанию, на которой представлено платье. размер  s  очень сильно велик в талии, в плечах. рукава сильно короткие. длина платье, не то, что мини, а минимини.",одежда,одежда
размер маленький на 2 раза больше надо заказать,размер маленький на 2 раза больше надо заказать,нет товара,бытовая техника
"хорошая качественная рубашка, по размеру в целом подошла (немого только расходится в груди, но на мне все рубашки так сидят), доставка в Тулу 3 недели. Запаха нет.","хорошая качественная рубашка, по размеру в целом подошла  немого только расходится в груди, но на мне все рубашки так сидят , доставка в тулу 3 недели. запаха нет.",одежда,одежда
к сожалению товар я не получила,к сожалению товар я не получила,одежда,одежда
"Супер,  очень нравится !","супер, очень нравится !",одежда,одежда
Отличная рубашка! На 50-52 надо 4xl,отличная рубашка! на 50-52 надо 4xl,одежда,одежда
"Товар понравился полностью соответствует описанию.  К телу приятные, пришли за две недели.","товар понравился полностью соответствует описанию. к телу приятные, пришли за две недели.",одежда,одежда
товар не пришел. деньги вернули. продовец очень общительный,товар не пришел. деньги вернули. продовец очень общительный,нет товара,нет товара
"Приятная,мягкая.Полоски яркие. На 42-44  М-ка хорошо и даже рукава не коротки.","приятная,мягкая.полоски яркие. на 42-44 м-ка хорошо и даже рукава не коротки.",одежда,одежда
"Свой заказ я так и не получила, но спасибо за возврат денег.","свой заказ я так и не получила, но спасибо за возврат денег.",нет товара,бытовая техника
"Заказала 2 кофты, красную и розовую. Розовая оказалась больше и цвет не как на фото. Ядерно розовый. Как у барби. ","заказала 2 кофты, красную и розовую. розовая оказалась больше и цвет не как на фото. ядерно розовый. как у барби.",нет товара,нет товара
заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь,заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь,нет товара,электроника
отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!,отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!,одежда,одежда
"УЖАСНАЯ КОФТА. ЖДАЛА ОЧЕНЬ ДОЛГО,ТАК МНЕ ЕЩЕ И ДЕНЬГИ НЕ ВЕРНУЛИ!! кофта мала,и качество как половая тряпка","ужасная кофта. ждала очень долго,так мне еще и деньги не вернули!! кофта мала,и качество как половая тряпка",одежда,одежда
"Толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками(пошла на дачу(","толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками пошла на дачу ",одежда,одежда
Пришло совсем не то что заказывали,пришло совсем не то что заказывали,нет товара,украшения и аксессуары
"Посылка не дошла, деньги вернули. ","посылка не дошла, деньги вернули.",нет товара,товары для детей
"Размер 3XL  на 46-48. На меня мало. Не соответствует фото. В реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика.","размер 3xl на 46-48. на меня мало. не соответствует фото. в реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика.",одежда,одежда
"Размер не соответствует, очень маленький, на подростка","размер не соответствует, очень маленький, на подростка",одежда,одежда
"Заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!Первый раз заказывала и не удачно ","заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!первый раз заказывала и не удачно",нет товара,электроника
"Хорошая, тёплая толстовка! Размер на худенького подростка), моему ребёнку 13 лет, село в самый раз. Спасибо за быструю доставку и подарочек, очень приятно!","хорошая, тёплая толстовка! размер на худенького подростка , моему ребёнку 13 лет, село в самый раз. спасибо за быструю доставку и подарочек, очень приятно!",одежда,одежда
"качество пуховика не плохое, но смутили пятна не понятного происхождения","качество пуховика не плохое, но смутили пятна не понятного происхождения",одежда,одежда
"по итогу,заказ не получила.Открыла спор,который борианули со всеми моими претензиями.Почта России похерила или с номером отслеживания какая то беда...","по итогу,заказ не получила.открыла спор,который борианули со всеми моими претензиями.почта россии похерила или с номером отслеживания какая то беда...",нет товара,нет товара
"Яркое, красивое, классное. Рекомендую.","яркое, красивое, классное. рекомендую.",одежда,одежда
"Размер не соответствует, сильно маломерит. Заказала S, а нужно было М, а может даже  L. Написала продавцу, даже не ответил.","размер не соответствует, сильно маломерит. заказала s, а нужно было м, а может даже l. написала продавцу, даже не ответил.",нет товара,нет товара
вместо шорт продавец прислал какую-то хрень,вместо шорт продавец прислал какую-то хрень,нет товара,украшения и аксессуары
"Кофта не на долгую носку.После стирки качество ооочень испортилось! 
А так симпатичная, хорошо смотрится!","кофта не на долгую носку.после стирки качество ооочень испортилось! а так симпатичная, хорошо смотрится!",одежда,одежда
очень  лёгкая но не просвечивает  к телу  приятно  смотрится супер размер  соответствует действительности на 42 брала  s,очень лёгкая но не просвечивает к телу приятно смотрится супер размер соответствует действительности на 42 брала s,одежда,одежда
заказ не пришел. деньги вернули через 4 месяца.,заказ не пришел. деньги вернули через 4 месяца.,нет товара,украшения и аксессуары
"товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули","товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули",нет товара,товары для детей
"ужасный товар , не кому не советую, даже дома стыдно одевать","ужасный товар , не кому не советую, даже дома стыдно одевать",одежда,одежда
"На фото более толстая вязка, на самом деле тонкий трикотаж. Разочарована. Покупать не советую.","на фото более толстая вязка, на самом деле тонкий трикотаж. разочарована. покупать не советую.",одежда,одежда
Все хорошо,все хорошо,одежда,одежда
"Доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный ","доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный",нет товара,товары для детей
"Товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!","товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!",нет товара,нет товара
пришли с браком,пришли с браком,одежда,одежда
"это просто ужас! по совету продавца на свой русский S заказала размер M и я в нем утонула. боди ОЧЕНЬ большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!","это просто ужас! по совету продавца на свой русский s заказала размер m и я в нем утонула. боди очень большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!",одежда,одежда
"неплохая близка, но просвечивает","неплохая близка, но просвечивает",одежда,одежда
"не подошёл по размеру, верх сел идеально, а низ узкий и короткий, больше ни чего из одежды заказывать не буду","не подошёл по размеру, верх сел идеально, а низ узкий и короткий, больше ни чего из одежды заказывать не буду",нет товара,товары для детей
Маломерят. Рукава и длина оказались коротки,маломерят. рукава и длина оказались коротки,одежда,одежда
"Качество ткани очень неожиданное...неожиданно хлюпенькое... Рисунок с размытыми контурами, не яркий... В общем странная вещица, скорее более дачный вариант. Очень жаль, очень нравилась по описанию и картинке","качество ткани очень неожиданное...неожиданно хлюпенькое... рисунок с размытыми контурами, не яркий... в общем странная вещица, скорее более дачный вариант. очень жаль, очень нравилась по описанию и картинке",одежда,одежда
размеры не соответствуют разница 6-10 см.,размеры не соответствуют разница 6-10 см.,одежда,одежда
"Платье пришло с дыркой. Продавец просил не открывать спор, но ничего не предлагал и тянул время. Спор открыла, деньги вернули. Если бы не дыра на видном месте, то платье классное. ","платье пришло с дыркой. продавец просил не открывать спор, но ничего не предлагал и тянул время. спор открыла, деньги вернули. если бы не дыра на видном месте, то платье классное.",одежда,одежда
"К сожалению куртка пришла маленького размер, на мой 44 L не подошёл, очень расстроена!","к сожалению куртка пришла маленького размер, на мой 44 l не подошёл, очень расстроена!",одежда,одежда
Размер совсем не такой очень мал в плечах написал продавцу ответил что сожалеет и всё не советую ни продовца ни тавар не берите.,размер совсем не такой очень мал в плечах написал продавцу ответил что сожалеет и всё не советую ни продовца ни тавар не берите.,обувь,одежда
"Цвет и размер соответствует описанию. ОГ 92, рост 164 - размер L, подошел идеально. Оплатила 11.11.2017 -01.12.2017 получила на почте. Брала за 630 рублей. Магазин рекомендую как надежный.","цвет и размер соответствует описанию. ог 92, рост 164 - размер l, подошел идеально. оплатила 11.11.2017 -01.12.2017 получила на почте. брала за 630 рублей. магазин рекомендую как надежный.",одежда,одежда
"платье хорошее,но длина подола не соответствует(","платье хорошее,но длина подола не соответствует ",одежда,одежда
"Бракованная, пришло с дырочкой","бракованная, пришло с дырочкой",одежда,одежда
"Я не длинная. Платье очень короткое, еле прикрывает ""то самое место"". Носить не буду.","я не длинная. платье очень короткое, еле прикрывает  то самое место . носить не буду.",одежда,одежда
"Начиталась отзывов и поверила. А зря. На свои объемы - объем груди 89, объем талии 65, выбрала размер L, он мне велик. Лучше бы взяла м.","начиталась отзывов и поверила. а зря. на свои объемы - объем груди 89, объем талии 65, выбрала размер l, он мне велик. лучше бы взяла м.",одежда,одежда
"хорошая блузка,села как на картинке, брала xl на объём груди 90, рост 164, (вес 57 если кому то нужно) продавца рекомендую","хорошая блузка,села как на картинке, брала xl на объём груди 90, рост 164,  вес 57 если кому то нужно  продавца рекомендую",одежда,одежда
"Блузка шла меньше месяца в Челябинскую область. Ткань тонкая, просвечивает. Так же обнаружила что один рукав криво пришит. Но чего было ожидать за 280 рублей.","блузка шла меньше месяца в челябинскую область. ткань тонкая, просвечивает. так же обнаружила что один рукав криво пришит. но чего было ожидать за 280 рублей.",одежда,одежда
талия очень завышена и широкая. надо будет ушить и в груди побокам торчит . ткань тянется. в целом пойдет,талия очень завышена и широкая. надо будет ушить и в груди побокам торчит . ткань тянется. в целом пойдет,обувь,одежда
"пижама шла в Приморье 65 дней, большая по размеру , качество нормальное","пижама шла в приморье 65 дней, большая по размеру , качество нормальное",одежда,одежда
кофточка не плохая долго шла только.ну рукава коротковаты. не соответствуют этому размеру.должны бы быть подлиннее,кофточка не плохая долго шла только.ну рукава коротковаты. не соответствуют этому размеру.должны бы быть подлиннее,обувь,одежда
"спасибо. кофта отличная. приятная к телу, внутри типа нежного флиса. пришла быстро. на свой 42-44 , взяла L, так она свободная, не в обтяжку, но плечам хорошо (плечи 36/37). очень довольна. рекомендую.","спасибо. кофта отличная. приятная к телу, внутри типа нежного флиса. пришла быстро. на свой 42-44 , взяла l, так она свободная, не в обтяжку, но плечам хорошо  плечи 36 37 . очень довольна. рекомендую.",одежда,одежда
"Рубашка не аккуратная, разлезлись швы после первой носки, запах не выветрился после 3 стирок","рубашка не аккуратная, разлезлись швы после первой носки, запах не выветрился после 3 стирок",одежда,одежда
"хорошая рубашка, мой рост 168, вес 64, брала xl, в самый раз. качество неплохое, к телу приятная, цвет яркий. за такую цену отлично, ожидала худшего","хорошая рубашка, мой рост 168, вес 64, брала xl, в самый раз. качество неплохое, к телу приятная, цвет яркий. за такую цену отлично, ожидала худшего",одежда,одежда
"Сшит хорошо, но материал - голимая синтетика","сшит хорошо, но материал - голимая синтетика",одежда,одежда
"по длинне очень короткое, быстрее тупика чем платье...","по длинне очень короткое, быстрее тупика чем платье...",одежда,одежда
"Ну так себе, на самом деле он и стоит своих денег, носить не буду ","ну так себе, на самом деле он и стоит своих денег, носить не буду",одежда,одежда
"на 42-44 можно смело заказывать xs, качество хорошее","на 42-44 можно смело заказывать xs, качество хорошее",нет товара,украшения и аксессуары
"Сшита очень плохо. Рукава короткие, плечи тоже. Везде торчат нитки","сшита очень плохо. рукава короткие, плечи тоже. везде торчат нитки",одежда,одежда
"Очень хорошие штанишки, трикотаж прямо бархатный, СПАСИБО","очень хорошие штанишки, трикотаж прямо бархатный, спасибо",одежда,одежда
"штаны хорошие для тех кто любит на резинке (я не люблю) беру маме. коротки для 170,норм для 165","штаны хорошие для тех кто любит на резинке  я не люблю  беру маме. коротки для 170,норм для 165",одежда,одежда
"excellent,thank you","excellent,thank you",одежда,одежда
товар не пришло . деньги вернулись.,товар не пришло . деньги вернулись.,нет товара,нет товара
"На фото выглядят как брючки, по факту и цвет и качество не похожи, сидит не очень, сползают - собираются,","на фото выглядят как брючки, по факту и цвет и качество не похожи, сидит не очень, сползают - собираются,",одежда,одежда
"товар пришел быстро. качество нормальное,материал только тоненький у шорт. а так все супер. спасибо","товар пришел быстро. качество нормальное,материал только тоненький у шорт. а так все супер. спасибо",одежда,одежда
"Заказ пришел, но на картинке белый цвет а на самом деле серая кофта. Размер тоже не подошел, хотя я такие вещи покупаю по тому размеру который заказывала. На вид по картинке длинее чем кажется, на самом деле короткая.","заказ пришел, но на картинке белый цвет а на самом деле серая кофта. размер тоже не подошел, хотя я такие вещи покупаю по тому размеру который заказывала. на вид по картинке длинее чем кажется, на самом деле короткая.",одежда,одежда
"В Пермь пришел за 9 дней. Но куртка вся кривая косая, плечи узкие, в бедрах огромная. Носить вряд ли буду","в пермь пришел за 9 дней. но куртка вся кривая косая, плечи узкие, в бедрах огромная. носить вряд ли буду",одежда,одежда
"Сорочка замечательная. Очень аккуратно сшита, никаких перекосов в крое. Брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. Очень довольна заказом. Рекомендую к покупке.","сорочка замечательная. очень аккуратно сшита, никаких перекосов в крое. брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. очень довольна заказом. рекомендую к покупке.",одежда,одежда
товар отправили не на тот адрес. но деньги вернули,товар отправили не на тот адрес. но деньги вернули,нет товара,товары для детей
"Отличаются  от такой же модели синего цвета, при том, что заказывала одновременно. Все липнет, на ощупь как бумажные какие-то, тянутся сложнее.","отличаются от такой же модели синего цвета, при том, что заказывала одновременно. все липнет, на ощупь как бумажные какие-то, тянутся сложнее.",нет товара,нет товара
"не скажу,  что блузка хороша, ткань непонятная, подкладка - прозрачная синтетика, кружево жесткое, отделка рукавов оставляет желать лучшего. На 96-78-102 тесновато в груди и в рукавах.","не скажу, что блузка хороша, ткань непонятная, подкладка - прозрачная синтетика, кружево жесткое, отделка рукавов оставляет желать лучшего. на 96-78-102 тесновато в груди и в рукавах.",одежда,одежда
зачем заказала? ужасно. все в затяжках,зачем заказала? ужасно. все в затяжках,нет товара,украшения и аксессуары
"доставка очень медленная, размерная сетка не соответсвует, на размер 50-52 5XL малы, на рост 170 длина до щиколотки","доставка очень медленная, размерная сетка не соответсвует, на размер 50-52 5xl малы, на рост 170 длина до щиколотки",нет товара,товары для детей
"Футболка нормальная, размер подошел.","футболка нормальная, размер подошел.",одежда,одежда
"все нормально, хорошая ткань, рекомендую","все нормально, хорошая ткань, рекомендую",одежда,одежда
"На фото смотрится гораздо лучше, чем на самом деле. Ткань очень тонкая, вся просвечивается.","на фото смотрится гораздо лучше, чем на самом деле. ткань очень тонкая, вся просвечивается.",одежда,одежда
"Ужасная кофта. Не рекомендую. Маленькая, висит как тряпка.","ужасная кофта. не рекомендую. маленькая, висит как тряпка.",одежда,одежда
"Обманули. Товар ждала с конца марта!!!!!! Кошмар. Товар так и не пришёл, продавец просил подождать, я открыла спор. Продавец отказался отдавать деньги. Я открыла повторный спор, деньги мне так и не вернули!!!!!!!","обманули. товар ждала с конца марта!!!!!! кошмар. товар так и не пришёл, продавец просил подождать, я открыла спор. продавец отказался отдавать деньги. я открыла повторный спор, деньги мне так и не вернули!!!!!!!",нет товара,нет товара
